uri	rel	start	end	weight	source
/a/[/c/ja/小_テスト,/r/IsA,/c/ja/テスト]	/c/ja/小_テスト	/r/IsA	/c/ja/テスト	4	Kyoto University & Yahoo Japan Corporation
/a/[/c/ja/性格検査,/r/IsA,/c/ja/テスト]	/c/ja/性格検査	/r/IsA	/c/ja/テスト	3	Kyoto University & Yahoo Japan Corporation
/a/[/c/ja/抜き打ち_テスト,/r/IsA,/c/ja/小_テスト]	/c/ja/抜き打ち_テスト	/r/IsA	/c/ja/小_テスト	3	Kyoto University & Yahoo Japan Corporation
/a/[/c/ja/教室,/r/UsedFor,/c/ja/テスト]	/c/ja/教室	/r/UsedFor	/c/ja/テスト	5	Kyoto University & Yahoo Japan Corporation
/a/[/c/ja/期末試験,/r/IsA,/c/ja/テスト]	/c/ja/期末試験	/r/IsA	/c/ja/テスト	5	Kyoto University & Yahoo Japan Corporation
/a/[/c/ja/本試験,/r/IsA,/c/ja/テスト]	/c/ja/本試験	/r/IsA	/c/ja/テスト	5	Kyoto University & Yahoo Japan Corporation
/a/[/c/ja/検定,/r/IsA,/c/ja/テスト]	/c/ja/検定	/r/IsA	/c/ja/テスト	4	Kyoto University & Yahoo Japan Corporation
/a/[/c/ja/検査,/r/IsA,/c/ja/テスト]	/c/ja/検査	/r/IsA	/c/ja/テスト	5	Kyoto University & Yahoo Japan Corporation
/a/[/c/ja/比較,/r/IsA,/c/ja/テスト]	/c/ja/比較	/r/IsA	/c/ja/テスト	3	Kyoto University & Yahoo Japan Corporation
/a/[/c/ja/治験,/r/IsA,/c/ja/テスト]	/c/ja/治験	/r/IsA	/c/ja/テスト	4	Kyoto University & Yahoo Japan Corporation
/a/[/c/ja/眼底検査,/r/IsA,/c/ja/テスト]	/c/ja/眼底検査	/r/IsA	/c/ja/テスト	3	Kyoto University & Yahoo Japan Corporation
/a/[/c/ja/知能_テスト,/r/IsA,/c/ja/テスト]	/c/ja/知能_テスト	/r/IsA	/c/ja/テスト	4	Kyoto University & Yahoo Japan Corporation
/a/[/c/ja/知能_テスト,/r/IsA,/c/ja/検査]	/c/ja/知能_テスト	/r/IsA	/c/ja/検査	3	Kyoto University & Yahoo Japan Corporation
/a/[/c/ja/科学者,/r/CapableOf,/c/ja/テスト]	/c/ja/科学者	/r/CapableOf	/c/ja/テスト	4	Kyoto University & Yahoo Japan Corporation
/a/[/c/ja/考査,/r/IsA,/c/ja/テスト]	/c/ja/考査	/r/IsA	/c/ja/テスト	3	Kyoto University & Yahoo Japan Corporation
/a/[/c/ja/試験,/r/IsA,/c/ja/テスト]	/c/ja/試験	/r/IsA	/c/ja/テスト	4	Kyoto University & Yahoo Japan Corporation
/a/[/c/ja/部分試験,/r/IsA,/c/ja/テスト]	/c/ja/部分試験	/r/IsA	/c/ja/テスト	5	Kyoto University & Yahoo Japan Corporation
